state	county or district name	County vs district (or other)	data source (vaccine registry or reported by schools - REG or SCH)	# kindergarten students in county	# schools in county	# schools reporting	% schools reporting	% 2 dose MMR - all schools	% 2-dose MMR - public school	% 2-dose MMR - private schools	"% fully vaccinated (all vaccines), all schools"	% fully vaccinated - public schools	% fully vaccinated - private schools	% 1 dose MMR - all schools
ALABAMA	AUTAUGA	county	SCH	695				0.77						0.9252
ALABAMA	BALDWIN	county	SCH	2080				0.70						0.9197
ALABAMA	BARBOUR	county	SCH	294				0.72						0.9320
ALABAMA	BIBB	county	SCH	209				0.78						0.9665
ALABAMA	BLOUNT	county	SCH	594				0.81						0.9562
ALABAMA	BULLOCK	county	SCH	157				0.84						0.9490
ALABAMA	BUTLER	county	SCH	281				0.90						0.9858
ALABAMA	CALHOUN	county	SCH	1567				0.78						0.9483
ALABAMA	CHAMBERS	county	SCH	244				0.81						0.9631
ALABAMA	CHEROKEE	county	SCH	242				0.84						0.9669
ALABAMA	CHILTON	county	SCH	568				0.84						0.9595
ALABAMA	CHOCTAW	county	SCH	191				0.75						0.9215
ALABAMA	CLARKE	county	SCH	275				0.77						0.9527
ALABAMA	CLAY	county	SCH	132				0.89						0.9924
ALABAMA	CLEBURNE	county	SCH	141				0.80						0.9433
ALABAMA	COFFEE	county	SCH	668				0.66						0.8982
ALABAMA	COLBERT	county	SCH	685				0.81						0.9635
ALABAMA	CONECUH	county	SCH	134				0.91						0.9851
ALABAMA	COOSA	county	SCH	104				0.77						0.9615
ALABAMA	COVINGTON	county	SCH	471				0.86						0.9639
ALABAMA	CRENSHAW	county	SCH	142				0.87						0.9859
ALABAMA	CULLMAN	county	SCH	974				0.78						0.9394
ALABAMA	DALE	county	SCH	561				0.72						0.9251
ALABAMA	DALLAS	county	SCH	652				0.77						0.9601
ALABAMA	DEKALB	county	SCH	931				0.80						0.9506
ALABAMA	ELMORE	county	SCH	1117				0.80						0.9472
ALABAMA	ESCAMBIA	county	SCH	483				0.88						0.9731
ALABAMA	ETOWAH	county	SCH	1232				0.77						0.9472
ALABAMA	FAYETTE	county	SCH	195				0.79						0.9692
ALABAMA	FRANKLIN	county	SCH	488				0.77						0.9406
ALABAMA	GENEVA	county	SCH	283				0.72						0.9470
