"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d"
"1","1",0,4,0.25,-384.033060460507,-40,1.9236496566766e-23,0
"2","1",0,4,0.25,-384.033060460507,-39.959979989995,2.12596160392295e-23,0
"3","1",0,4,0.25,-384.033060460507,-39.91995997999,2.34931570035513e-23,0
"4","1",0,4,0.25,-384.033060460507,-39.879939969985,2.59587557773091e-23,0
"5","1",0,4,0.25,-384.033060460507,-39.83991995998,2.86802472585372e-23,0
"6","1",0,4,0.25,-384.033060460507,-39.799899949975,3.16838856227062e-23,0
"7","1",0,4,0.25,-384.033060460507,-39.75987993997,3.49985868953814e-23,0
"8","1",0,4,0.25,-384.033060460507,-39.719859929965,3.86561955406723e-23,0
"9","1",0,4,0.25,-384.033060460507,-39.67983991996,4.26917774121452e-23,0
"10","1",0,4,0.25,-384.033060460507,-39.639819909955,4.71439416390616e-23,0
"11","1",0,4,0.25,-384.033060460507,-39.59979989995,5.20551942684965e-23,0
"12","1",0,4,0.25,-384.033060460507,-39.559779889945,5.74723267551025e-23,0
"13","1",0,4,0.25,-384.033060460507,-39.51975987994,6.34468426871835e-23,0
"14","1",0,4,0.25,-384.033060460507,-39.479739869935,7.0035426462789e-23,0
"15","1",0,4,0.25,-384.033060460507,-39.43971985993,7.73004579852537e-23,0
"16","1",0,4,0.25,-384.033060460507,-39.399699849925,8.53105778369906e-23,0
"17","1",0,4,0.25,-384.033060460507,-39.35967983992,9.41413078163889e-23,0
"18","1",0,4,0.25,-384.033060460507,-39.319659829915,1.0387573218887e-22,0
"19","1",0,4,0.25,-384.033060460507,-39.27963981991,1.14605245513193e-22,0
"20","1",0,4,0.25,-384.033060460507,-39.239619809905,1.26430373462106e-22,0
"21","1",0,4,0.25,-384.033060460507,-39.1995997998999,1.39461673666684e-22,0
"22","1",0,4,0.25,-384.033060460507,-39.1595797898949,1.53820724281283e-22,0
"23","1",0,4,0.25,-384.033060460507,-39.1195597798899,1.6964120869595e-22,0
"24","1",0,4,0.25,-384.033060460507,-39.0795397698849,1.87070105621365e-22,0
"25","1",0,4,0.25,-384.033060460507,-39.0395197598799,2.06268994644075e-22,0
"26","1",0,4,0.25,-384.033060460507,-38.9994997498749,2.2741548830383e-22,0
