j,prior_mu,prior_sigma,log_C,estimate
1,0,1,-393.8621292064232,0.6292872610886334
1,0,1,-393.8621292064232,-1.1985164291754484
1,0,1,-393.8621292064232,0.30991372768569436
1,0,1,-393.8621292064232,-0.842522204011747
1,0,1,-393.8621292064232,-0.5522236402733728
1,0,1,-393.8621292064232,-0.05894983243085927
1,0,1,-393.8621292064232,-0.824151523993462
1,0,1,-393.8621292064232,-0.30507062021568143
1,0,1,-393.8621292064232,1.108506823612252
1,0,1,-393.8621292064232,-1.8029327254285314
1,0,1,-393.8621292064232,-2.011778007312463
1,0,1,-393.8621292064232,-0.7553954770057207
1,0,1,-393.8621292064232,-0.8079037323325428
1,0,1,-393.8621292064232,1.5917895642843107
1,0,1,-393.8621292064232,-2.5964377208723617
1,0,1,-393.8621292064232,-0.23720149267170232
1,0,1,-393.8621292064232,0.4470279981635338
1,0,1,-393.8621292064232,0.5595585655084201
1,0,1,-393.8621292064232,0.5267875716965323
1,0,1,-393.8621292064232,-0.8119526422833138
1,0,1,-393.8621292064232,1.6995392672323781
1,0,1,-393.8621292064232,1.6675799700131337
1,0,1,-393.8621292064232,0.4987520841027402
1,0,1,-393.8621292064232,-0.9505263912559201
1,0,1,-393.8621292064232,0.509920709666674
1,0,1,-393.8621292064232,0.33278826557037533
1,0,1,-393.8621292064232,-0.34756552621238695
1,0,1,-393.8621292064232,-1.0167957446547924
1,0,1,-393.8621292064232,1.2242899523991717
1,0,1,-393.8621292064232,-0.023051861326586542
1,0,1,-393.8621292064232,0.039619686189805825
1,0,1,-393.8621292064232,-1.140914959905066
1,0,1,-393.8621292064232,0.082815017647213
1,0,1,-393.8621292064232,-1.2971406906739245
1,0,1,-393.8621292064232,-1.2939567257977824
1,0,1,-393.8621292064232,0.35904815786712396
1,0,1,-393.8621292064232,0.3354924898122002
1,0,1,-393.8621292064232,0.36867237068113057
1,0,1,-393.8621292064232,-0.2178043394855006
1,0,1,-393.8621292064232,0.7025201624030454
1,0,1,-393.8621292064232,-0.23593010136536552
1,0,1,-393.8621292064232,-0.815337621218298
1,0,1,-393.8621292064232,-0.5898221714569104
1,0,1,-393.8621292064232,-0.9138081148796937
1,0,1,-393.8621292064232,-1.4430701436799749
1,0,1,-393.8621292064232,-0.5095282756695884
1,0,1,-393.8621292064232,0.3057486165300015
1,0,1,-393.8621292064232,-0.707680412092556
1,0,1,-393.8621292064232,0.32063412666865376
1,0,1,-393.8621292064232,0.4317099847937219
1,0,1,-393.8621292064232,-0.09058531005657292
1,0,1,-393.8621292064232,-0.2979563008678406
1,0,1,-393.8621292064232,1.0233110758661796
1,0,1,-393.8621292064232,1.5394275510671331
1,0,1,-393.8621292064232,-0.5119969137299484
1,0,1,-393.8621292064232,-0.3746099200878136
1,0,1,-393.8621292064232,0.27392956402805524
1,0,1,-393.8621292064232,0.050826259236150015
1,0,1,-393.8621292064232,-0.13489821531227425
1,0,1,-393.8621292064232,-0.40354371302155323
1,0,1,-393.8621292064232,-0.2930920802689649
1,0,1,-393.8621292064232,0.007740358484285947
1,0,1,-393.8621292064232,-1.1438809347094092
1,0,1,-393.8621292064232,-0.47631003008563266
1,0,1,-393.8621292064232,-0.7608129949540594
1,0,1,-393.8621292064232,0.633922285932258
1,0,1,-393.8621292064232,0.2455080318376453
1,0,1,-393.8621292064232,0.6680234783248548
1,0,1,-393.8621292064232,0.2828466370506583
1,0,1,-393.8621292064232,-0.2324982992099951
1,0,1,-393.8621292064232,0.17036502363407785
1,0,1,-393.8621292064232,0.9822410450983396
1,0,1,-393.8621292064232,0.017335898652813597
1,0,1,-393.8621292064232,-0.08584971779114137
1,0,1,-393.8621292064232,-0.2634005277087737
1,0,1,-393.8621292064232,-0.37125264198512237
1,0,1,-393.8621292064232,-0.498877477736699
1,0,1,-393.8621292064232,-1.3709819051203866
1,0,1,-393.8621292064232,-1.2923346853616549
1,0,1,-393.8621292064232,0.8044124346872068
1,0,1,-393.8621292064232,0.7597336610536135
1,0,1,-393.8621292064232,-0.5763982136846845
1,0,1,-393.8621292064232,0.2827167778531842
1,0,1,-393.8621292064232,0.061393450955732565
1,0,1,-393.8621292064232,0.09142463515986582
1,0,1,-393.8621292064232,-0.6580187192726503
1,0,1,-393.8621292064232,0.9084426140770069
1,0,1,-393.8621292064232,-1.1420777237550992
1,0,1,-393.8621292064232,0.5873986964312088
1,0,1,-393.8621292064232,1.5314318831661686
1,0,1,-393.8621292064232,0.16531961473723356
1,0,1,-393.8621292064232,-0.32156077504638647
