"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d"
"1","1",0,1,0.25,-393.858431564317,-40,0,0
"2","1",0,1,0.25,-393.858431564317,-39.959979989995,0,0
"3","1",0,1,0.25,-393.858431564317,-39.91995997999,0,0
"4","1",0,1,0.25,-393.858431564317,-39.879939969985,0,0
"5","1",0,1,0.25,-393.858431564317,-39.83991995998,0,0
"6","1",0,1,0.25,-393.858431564317,-39.799899949975,0,0
"7","1",0,1,0.25,-393.858431564317,-39.75987993997,0,0
"8","1",0,1,0.25,-393.858431564317,-39.719859929965,0,0
"9","1",0,1,0.25,-393.858431564317,-39.67983991996,0,0
"10","1",0,1,0.25,-393.858431564317,-39.639819909955,0,0
"11","1",0,1,0.25,-393.858431564317,-39.59979989995,0,0
"12","1",0,1,0.25,-393.858431564317,-39.559779889945,0,0
"13","1",0,1,0.25,-393.858431564317,-39.51975987994,0,0
"14","1",0,1,0.25,-393.858431564317,-39.479739869935,0,0
"15","1",0,1,0.25,-393.858431564317,-39.43971985993,0,0
"16","1",0,1,0.25,-393.858431564317,-39.399699849925,0,0
"17","1",0,1,0.25,-393.858431564317,-39.35967983992,0,0
"18","1",0,1,0.25,-393.858431564317,-39.319659829915,0,0
"19","1",0,1,0.25,-393.858431564317,-39.27963981991,0,0
"20","1",0,1,0.25,-393.858431564317,-39.239619809905,0,0
"21","1",0,1,0.25,-393.858431564317,-39.1995997998999,0,0
"22","1",0,1,0.25,-393.858431564317,-39.1595797898949,0,0
"23","1",0,1,0.25,-393.858431564317,-39.1195597798899,0,0
"24","1",0,1,0.25,-393.858431564317,-39.0795397698849,0,0
"25","1",0,1,0.25,-393.858431564317,-39.0395197598799,0,0
"26","1",0,1,0.25,-393.858431564317,-38.9994997498749,0,0
"27","1",0,1,0.25,-393.858431564317,-38.9594797398699,0,0
"28","1",0,1,0.25,-393.858431564317,-38.9194597298649,0,0
"29","1",0,1,0.25,-393.858431564317,-38.8794397198599,0,0
"30","1",0,1,0.25,-393.858431564317,-38.8394197098549,0,9.88131291682493e-324
"31","1",0,1,0.25,-393.858431564317,-38.7993996998499,0,5.92878775009496e-323
"32","1",0,1,0.25,-393.858431564317,-38.7593796898449,0,3.2114266979681e-322
"33","1",0,1,0.25,-393.858431564317,-38.7193596798399,0,1.72922976044436e-321
"34","1",0,1,0.25,-393.858431564317,-38.6793396698349,0,9.22914626431449e-321
"35","1",0,1,0.25,-393.858431564317,-38.6393196598299,0,4.92534042339139e-320
"36","1",0,1,0.25,-393.858431564317,-38.5992996498249,0,2.62269807438367e-319
"37","1",0,1,0.25,-393.858431564317,-38.5592796398199,4.94065645841247e-324,1.39393705055066e-318
"38","1",0,1,0.25,-393.858431564317,-38.5192596298149,2.47032822920623e-323,7.39433467535385e-318
"39","1",0,1,0.25,-393.858431564317,-38.4792396198099,1.18575755001899e-322,3.91486353067879e-317
"40","1",0,1,0.25,-393.858431564317,-38.4392196098049,5.63234836259021e-322,2.06869352073995e-316
"41","1",0,1,0.25,-393.858431564317,-38.3991995997999,2.61360726650019e-321,1.09103208285292e-315
"42","1",0,1,0.25,-393.858431564317,-38.3591795897949,1.21490742312363e-320,5.74302569267896e-315
"43","1",0,1,0.25,-393.858431564317,-38.3191595797899,5.63679495340278e-320,3.01721228801133e-314
