year,intent,police,sex,age,race
2014,Accidental,0,Male,24,Asian/Pacific Islander
2014,Accidental,0,Female,44,Asian/Pacific Islander
2014,Accidental,0,Male,23,Asian/Pacific Islander
2014,Accidental,0,Male,47,Asian/Pacific Islander
2014,Accidental,0,Female,25,Asian/Pacific Islander
2014,Homicide,0,Male,63,Asian/Pacific Islander
2014,Homicide,0,Female,60,Asian/Pacific Islander
2014,Homicide,0,Male,43,Asian/Pacific Islander
2014,Homicide,0,Male,65,Asian/Pacific Islander
2014,Homicide,0,Male,25,Asian/Pacific Islander
2014,Homicide,0,Male,33,Asian/Pacific Islander
2014,Homicide,0,Male,43,Asian/Pacific Islander
2014,Homicide,0,Male,53,Asian/Pacific Islander
2014,Homicide,0,Male,21,Asian/Pacific Islander
2014,Homicide,0,Male,60,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Male,26,Asian/Pacific Islander
2014,Homicide,1,Male,34,Asian/Pacific Islander
2014,Homicide,0,Female,45,Asian/Pacific Islander
2014,Homicide,0,Male,26,Asian/Pacific Islander
2014,Homicide,0,Male,37,Asian/Pacific Islander
2014,Homicide,0,Male,42,Asian/Pacific Islander
2014,Homicide,1,Male,45,Asian/Pacific Islander
2014,Homicide,0,Male,29,Asian/Pacific Islander
2014,Homicide,0,Male,56,Asian/Pacific Islander
2014,Homicide,0,Male,20,Asian/Pacific Islander
2014,Homicide,0,Male,29,Asian/Pacific Islander
2014,Homicide,0,Male,38,Asian/Pacific Islander
2014,Homicide,1,Male,22,Asian/Pacific Islander
2014,Homicide,0,Female,49,Asian/Pacific Islander
2014,Homicide,1,Male,21,Asian/Pacific Islander
2014,Homicide,0,Male,26,Asian/Pacific Islander
2014,Homicide,0,Male,25,Asian/Pacific Islander
2014,Homicide,0,Male,25,Asian/Pacific Islander
2014,Homicide,0,Male,32,Asian/Pacific Islander
2014,Homicide,0,Female,23,Asian/Pacific Islander
2014,Homicide,0,Female,55,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Male,23,Asian/Pacific Islander
2014,Homicide,0,Male,23,Asian/Pacific Islander
2014,Homicide,0,Male,28,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Male,30,Asian/Pacific Islander
2014,Homicide,0,Male,19,Asian/Pacific Islander
2014,Homicide,0,Male,18,Asian/Pacific Islander
2014,Homicide,0,Male,28,Asian/Pacific Islander
2014,Homicide,0,Male,19,Asian/Pacific Islander
2014,Homicide,0,Female,35,Asian/Pacific Islander
2014,Homicide,0,Male,19,Asian/Pacific Islander
2014,Homicide,0,Male,58,Asian/Pacific Islander
2014,Homicide,0,Male,65,Asian/Pacific Islander
2014,Homicide,0,Male,41,Asian/Pacific Islander
2014,Homicide,0,Female,42,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Male,39,Asian/Pacific Islander
2014,Homicide,0,Female,72,Asian/Pacific Islander
2014,Homicide,0,Male,28,Asian/Pacific Islander
2014,Homicide,0,Male,41,Asian/Pacific Islander
2014,Homicide,0,Male,37,Asian/Pacific Islander
2014,Homicide,0,Male,27,Asian/Pacific Islander
2014,Homicide,0,Male,19,Asian/Pacific Islander
2014,Homicide,1,Male,32,Asian/Pacific Islander
2014,Homicide,0,Male,17,Asian/Pacific Islander
2014,Homicide,0,Male,51,Asian/Pacific Islander
2014,Homicide,0,Female,51,Asian/Pacific Islander
2014,Homicide,0,Male,50,Asian/Pacific Islander
2014,Homicide,0,Male,40,Asian/Pacific Islander
2014,Homicide,0,Male,31,Asian/Pacific Islander
2014,Homicide,0,Male,47,Asian/Pacific Islander
2014,Homicide,0,Male,23,Asian/Pacific Islander
2014,Homicide,0,Male,28,Asian/Pacific Islander
2014,Homicide,0,Male,25,Asian/Pacific Islander
2014,Homicide,0,Female,35,Asian/Pacific Islander
2014,Homicide,0,Male,88,Asian/Pacific Islander
2014,Homicide,0,Male,37,Asian/Pacific Islander
2014,Homicide,1,Male,51,Asian/Pacific Islander
2014,Homicide,0,Male,40,Asian/Pacific Islander
2014,Homicide,0,Female,71,Asian/Pacific Islander
2014,Homicide,0,Male,66,Asian/Pacific Islander
2014,Homicide,0,Female,83,Asian/Pacific Islander
2014,Homicide,0,Male,41,Asian/Pacific Islander
2014,Homicide,0,Male,31,Asian/Pacific Islander
2014,Homicide,0,Male,23,Asian/Pacific Islander
2014,Homicide,0,Male,18,Asian/Pacific Islander
2014,Homicide,0,Male,26,Asian/Pacific Islander
2014,Homicide,0,Male,36,Asian/Pacific Islander
2014,Homicide,0,Male,73,Asian/Pacific Islander
2014,Homicide,0,Female,20,Asian/Pacific Islander
2014,Homicide,0,Female,45,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Female,50,Asian/Pacific Islander
2014,Homicide,0,Male,32,Asian/Pacific Islander
2014,Homicide,0,Female,59,Asian/Pacific Islander
2014,Homicide,0,Female,46,Asian/Pacific Islander
2014,Homicide,0,Female,72,Asian/Pacific Islander
2014,Homicide,0,Female,32,Asian/Pacific Islander
2014,Homicide,0,Female,42,Asian/Pacific Islander
2014,Homicide,0,Male,50,Asian/Pacific Islander
2014,Homicide,0,Male,49,Asian/Pacific Islander
2014,Homicide,0,Male,46,Asian/Pacific Islander
2014,Homicide,0,Male,36,Asian/Pacific Islander
2014,Homicide,0,Female,20,Asian/Pacific Islander
2014,Homicide,0,Male,20,Asian/Pacific Islander
2014,Homicide,0,Male,57,Asian/Pacific Islander
2014,Homicide,0,Male,30,Asian/Pacific Islander
2014,Homicide,0,Male,27,Asian/Pacific Islander
2014,Homicide,0,Male,41,Asian/Pacific Islander
2014,Homicide,0,Male,37,Asian/Pacific Islander
2014,Homicide,0,Male,53,Asian/Pacific Islander
2014,Homicide,0,Male,26,Asian/Pacific Islander
2014,Homicide,0,Female,47,Asian/Pacific Islander
2014,Homicide,0,Male,21,Asian/Pacific Islander
2014,Homicide,0,Male,32,Asian/Pacific Islander
2014,Homicide,0,Female,47,Asian/Pacific Islander
2014,Homicide,0,Male,22,Asian/Pacific Islander
2014,Homicide,1,Male,25,Asian/Pacific Islander
2014,Homicide,0,Male,58,Asian/Pacific Islander
2014,Homicide,0,Male,71,Asian/Pacific Islander
2014,Homicide,0,Male,23,Asian/Pacific Islander
2014,Homicide,0,Male,41,Asian/Pacific Islander
2014,Homicide,0,Male,44,Asian/Pacific Islander
2014,Homicide,0,Male,24,Asian/Pacific Islander
2014,Homicide,0,Male,34,Asian/Pacific Islander
2014,Homicide,0,Female,29,Asian/Pacific Islander
2014,Homicide,0,Female,48,Asian/Pacific Islander
2014,Homicide,0,Male,36,Asian/Pacific Islander
2014,Homicide,0,Female,45,Asian/Pacific Islander
2014,Homicide,0,Male,53,Asian/Pacific Islander
2014,Homicide,0,Male,40,Asian/Pacific Islander
2014,Homicide,0,Male,35,Asian/Pacific Islander
2014,Homicide,0,Male,50,Asian/Pacific Islander
2014,Homicide,0,Female,49,Asian/Pacific Islander
