,year,intent,police,sex,age,race
96141,2014,Homicide,0,Female,Under15,Asian/Pacific Islander
98413,2014,Homicide,0,Female,Under15,Asian/Pacific Islander
68183,2014,Homicide,0,Female,Under15,Black
73412,2014,Homicide,0,Female,Under15,Black
77311,2014,Homicide,0,Female,Under15,Black
77312,2014,Homicide,0,Female,Under15,Black
78142,2014,Homicide,0,Female,Under15,Black
78435,2014,Homicide,0,Female,Under15,Black
79989,2014,Homicide,0,Female,Under15,Black
80090,2014,Homicide,0,Female,Under15,Black
80091,2014,Homicide,0,Female,Under15,Black
80555,2014,Homicide,0,Female,Under15,Black
80929,2014,Homicide,0,Female,Under15,Black
81601,2014,Homicide,0,Female,Under15,Black
82217,2014,Homicide,0,Female,Under15,Black
82248,2014,Homicide,0,Female,Under15,Black
82879,2014,Homicide,0,Female,Under15,Black
83073,2014,Homicide,0,Female,Under15,Black
86404,2014,Homicide,0,Female,Under15,Black
87026,2014,Homicide,0,Female,Under15,Black
87654,2014,Homicide,0,Female,Under15,Black
89186,2014,Homicide,0,Female,Under15,Black
89228,2014,Homicide,0,Female,Under15,Black
89456,2014,Homicide,0,Female,Under15,Black
90169,2014,Homicide,0,Female,Under15,Black
91753,2014,Homicide,0,Female,Under15,Black
91796,2014,Homicide,0,Female,Under15,Black
92319,2014,Homicide,0,Female,Under15,Black
92450,2014,Homicide,0,Female,Under15,Black
93135,2014,Homicide,0,Female,Under15,Black
94105,2014,Homicide,0,Female,Under15,Black
98654,2014,Homicide,0,Female,Under15,Black
98655,2014,Homicide,0,Female,Under15,Black
98656,2014,Homicide,0,Female,Under15,Black
99637,2014,Homicide,0,Female,Under15,Black
99930,2014,Homicide,0,Female,Under15,Black
100654,2014,Homicide,0,Female,Under15,Black
67271,2014,Homicide,0,Female,Under15,Hispanic
68274,2014,Homicide,0,Female,Under15,Hispanic
68657,2014,Homicide,0,Female,Under15,Hispanic
68658,2014,Homicide,0,Female,Under15,Hispanic
70424,2014,Homicide,0,Female,Under15,Hispanic
70796,2014,Homicide,0,Female,Under15,Hispanic
71866,2014,Homicide,0,Female,Under15,Hispanic
74557,2014,Homicide,0,Female,Under15,Hispanic
74558,2014,Homicide,0,Female,Under15,Hispanic
74559,2014,Homicide,0,Female,Under15,Hispanic
75203,2014,Homicide,0,Female,Under15,Hispanic
75205,2014,Homicide,0,Female,Under15,Hispanic
76084,2014,Homicide,0,Female,Under15,Hispanic
77071,2014,Homicide,0,Female,Under15,Hispanic
77959,2014,Homicide,0,Female,Under15,Hispanic
82537,2014,Homicide,0,Female,Under15,Hispanic
87554,2014,Homicide,0,Female,Under15,Hispanic
87687,2014,Homicide,0,Female,Under15,Hispanic
88031,2014,Homicide,0,Female,Under15,Hispanic
89286,2014,Homicide,0,Female,Under15,Hispanic
90577,2014,Homicide,0,Female,Under15,Hispanic
90750,2014,Homicide,0,Female,Under15,Hispanic
94453,2014,Homicide,0,Female,Under15,Hispanic
94982,2014,Homicide,0,Female,Under15,Hispanic
94985,2014,Homicide,0,Female,Under15,Hispanic
95156,2014,Homicide,0,Female,Under15,Hispanic
95599,2014,Homicide,0,Female,Under15,Hispanic
95921,2014,Homicide,0,Female,Under15,Hispanic
96770,2014,Homicide,0,Female,Under15,Hispanic
99347,2014,Homicide,0,Female,Under15,Native American/Native Alaskan
68616,2014,Homicide,0,Female,Under15,White
69545,2014,Homicide,0,Female,Under15,White
70097,2014,Homicide,0,Female,Under15,White
70676,2014,Homicide,0,Female,Under15,White
71980,2014,Homicide,0,Female,Under15,White
73658,2014,Homicide,0,Female,Under15,White
74356,2014,Homicide,0,Female,Under15,White
75193,2014,Homicide,0,Female,Under15,White
75379,2014,Homicide,0,Female,Under15,White
76172,2014,Homicide,0,Female,Under15,White
77748,2014,Homicide,0,Female,Under15,White
80666,2014,Homicide,0,Female,Under15,White
80785,2014,Homicide,0,Female,Under15,White
81112,2014,Homicide,0,Female,Under15,White
84031,2014,Homicide,0,Female,Under15,White
84177,2014,Homicide,0,Female,Under15,White
84271,2014,Homicide,0,Female,Under15,White
85527,2014,Homicide,0,Female,Under15,White
87021,2014,Homicide,0,Female,Under15,White
87745,2014,Homicide,0,Female,Under15,White
89884,2014,Homicide,0,Female,Under15,White
90276,2014,Homicide,0,Female,Under15,White
90367,2014,Homicide,0,Female,Under15,White
90898,2014,Homicide,0,Female,Under15,White
91118,2014,Homicide,0,Female,Under15,White
93077,2014,Homicide,0,Female,Under15,White
95195,2014,Homicide,0,Female,Under15,White
96258,2014,Homicide,0,Female,Under15,White
96260,2014,Homicide,0,Female,Under15,White
