state,county,no_of_kg_student,vax-rate
Maryland,Baltimore County,9336,1.0
Maryland,Howard,4258,1.0
Maryland,Frederick,3048,1.0
Maryland,Harford,2969,1.0
IOWA,Scott ,2546,1.0
Maryland,Charles,1781,1.0
IOWA,Dallas ,1385,1.0
Maryland,St. Mary's,1328,1.0
IOWA,Pottawattamie ,1307,1.0
IOWA,Dubuque ,1268,1.0
Maryland,Cecil,1209,1.0
Maryland,Calvert,1088,1.0
Mississippi,LAUDERDALE,1040,1.0
Mississippi,LAMAR,933,1.0
Mississippi,PANOLA,585,1.0
Maryland,Queen Anne's,569,1.0
Mississippi,LINCOLN,569,1.0
Mississippi,LAFAYETTE,563,1.0
Mississippi,SCOTT,552,1.0
Mississippi,NESHOBA,545,1.0
Florida,Gadsden,541,1.0
Mississippi,LEFLORE,540,1.0
Maryland,Talbot,531,1.0
Mississippi,OKTIBBEHA,529,1.0
Tennessee,Dyer,510,1.0
Mississippi,MONROE,460,1.0
Mississippi,UNION,457,1.0
IOWA,Cerro Gordo ,454,1.0
Mississippi,ADAMS,450,1.0
IOWA,Lee ,421,1.0
IOWA,Webster ,417,1.0
Mississippi,PRENTISS,413,1.0
Mississippi,TATE,412,1.0
Mississippi,COPIAH,407,1.0
Mississippi,MARSHALL,403,1.0
Maryland,Caroline,397,1.0
Mississippi,TIPPAH,381,1.0
Mississippi,MARION,372,1.0
Mississippi,LEAKE,370,1.0
Mississippi,GRENADA,366,1.0
Mississippi,SUNFLOWER,364,1.0
Mississippi,GEORGE,350,1.0
Mississippi,NEWTON,348,1.0
Virginia,Mecklenburg,347,1.0
Mississippi,ATTALA,332,1.0
Mississippi,ITAWAMBA,326,1.0
Mississippi,COVINGTON,325,1.0
Arkansas,St. Francis,318,1.0
Mississippi,CLAY,310,1.0
IOWA,Buena Vista ,307,1.0
IOWA,Boone ,294,1.0
Mississippi,WAYNE,294,1.0
Maryland,Dorchester,292,1.0
Mississippi,WINSTON,290,1.0
IOWA,Carroll ,287,1.0
Maryland,Somerset,282,1.0
Maryland,Garrett,280,1.0
IOWA,Buchanan ,274,1.0
IOWA,Benton ,267,1.0
IOWA,Cedar ,263,1.0
Arkansas,Clark,255,1.0
Arkansas,Drew,252,1.0
Kentucky,Allen,250,1.0
