State	Text	Label	x	y	Population	Citizen	Registered	PercentRegistered	PercentRegisteredCitizen	Voted	PercentVoted	PercentVotedCitizen	Senate	Competetive	Grouped	Translated
Alabama	AL	N	598	335	3656000	3519000	2366000	64.7	67.2	1497000	40.9	42.5	Y	N		
Alaska	AK	L	33	465	521000	503000	336000	64.6	66.8	255000	49	50.7	Y	Y	448, 248	744, 448
Arizona	AZ	N	218	303	4994000	4397000	2738000	54.8	62.3	1785000	35.7	40.6	N	N		
Arkansas	AR	N	521	297	2189000	2057000	1292000	59	62.8	798000	36.5	38.8	Y	Y	465, 248	714, 476
California	CA	N	65	208	29030000	24455000	14113000	48.6	57.7	8949000	30.8	36.6	N	N		
Colorado	CO	N	333	204	4009000	3732000	2654000	66.2	71.1	2211000	55.2	59.3	Y	Y	416, 196	714, 410
Connecticut	CT	N	844	159	2783000	2560000	1668000	59.9	65.1	1195000	43	46.7	N	N		
Delaware	DE	R	788	217	712000	661000	442000	62	66.8	299000	42	45.2	Y	N		
Florida	FL	N	714	409	15414000	13879000	8691000	56.4	62.6	6220000	40.4	44.8	N	N		
Georgia	GA	N	648	307	7306000	6759000	4306000	58.9	63.7	2919000	40	43.2	Y	N		
Hawaii	HI	U	70	461	1035000	956000	490000	47.4	51.3	399000	38.6	41.8	Y	N		
Idaho	ID	N	220	105	1182000	1105000	671000	56.8	60.7	462000	39.1	41.8	Y	N		
Illinois	IL	N	514	162	9757000	8951000	5716000	58.6	63.9	3734000	38.3	41.7	Y	N		
Indiana	IN	N	592	174	4913000	4693000	3048000	62	64.9	1646000	33.5	35.1	N	N		
Iowa	IA	N	474	168	2336000	2275000	1584000	67.8	69.6	1203000	51.5	52.9	Y	Y	455, 190	714, 448
Kansas	KS	N	462	235	2125000	1993000	1353000	63.7	67.9	962000	45.3	48.3	Y	Y	458, 220	785, 416
Kentucky	KY	N	601	231	3323000	3207000	2298000	69.2	71.6	1525000	45.9	47.5	Y	N		
Louisiana	LA	N	538	380	3450000	3342000	2398000	69.5	71.7	1677000	48.6	50.2	Y	Y	492, 248	752, 410
Maine	ME	R	905	8	1061000	1045000	799000	75.4	76.5	642000	60.5	61.5	Y	N		
Maryland	MD	N	724	173	4542000	4148000	2995000	65.9	72.2	2028000	44.7	48.9	N	N		
Massachusetts	MA	N	876	69	5279000	4815000	3250000	61.6	67.5	2259000	42.8	46.9	Y	N		
Michigan	MI	N	616	105	7576000	7246000	5159000	68.1	71.2	3416000	45.1	47.1	Y	N		
Minnesota	MN	N	495	102	4104000	3933000	2822000	68.8	71.8	2047000	49.9	52	Y	N		
Mississippi	MS	N	556	338	2182000	2142000	1628000	74.6	76	907000	41.6	42.3	Y	N		
Missouri	MO	N	518	240	4505000	4429000	3194000	70.9	72.1	1713000	38	38.7	N	N		
Montana	MT	L	281	69	788000	782000	506000	64.3	64.8	391000	49.7	50.1	Y	N		
Nebraska	NE	L	440	187	1400000	1306000	873000	62.4	66.9	579000	41.4	44.3	Y	N		
Nevada	NV	N	198	228	2128000	1858000	1088000	51.1	58.5	693000	32.6	37.3	N	N		
New Hampshire	NH	R	897	39	1047000	1015000	694000	66.3	68.3	509000	48.6	50.2	Y	Y	487, 178	738, 476
New Jersey	NJ	N	778	151	6820000	5909000	3919000	57.5	66.3	2151000	31.5	36.4	Y	N		
New Mexico	NM	U	314	301	1536000	1417000	919000	59.9	64.9	646000	42.1	45.6	Y	N		
New York	NY	N	779	54	15274000	13611000	8078000	52.9	59.4	4680000	30.6	34.4	N	N		
North Carolina	NC	N	717	291	7412000	6857000	4779000	64.5	69.7	3170000	42.8	46.2	Y	Y	487, 200	764, 443
North Dakota	ND	L	435	75	567000	547000	363000	64.1	66.4	279000	49.2	51	N	N		
Ohio	OH	N	649	174	8772000	8509000	5657000	64.5	66.5	3378000	38.5	39.7	N	N		
Oklahoma	OK	N	455	287	2851000	2690000	1644000	57.7	61.1	920000	32.3	34.2	Y	N		
Oregon	OR	N	72	90	3078000	2870000	2008000	65.2	70	1594000	51.8	55.5	Y	N		
Pennsylvania	PA	N	700	94	9924000	9511000	6121000	61.7	64.4	3803000	38.3	40	N	N		
Rhode Island	RI	R	876	131	819000	765000	486000	59.4	63.6	331000	40.4	43.3	Y	N		
South Carolina	SC	N	717	360	3667000	3569000	2458000	67	68.9	1514000	41.3	42.4	Y	N		
South Dakota	SD	L	436	137	625000	618000	401000	64.2	64.9	273000	43.7	44.1	Y	N		
Tennessee	TN	N	591	279	4975000	4815000	3088000	62.1	64.1	1763000	35.4	36.6	Y	N		
Texas	TX	N	417	346	19354000	16844000	9946000	51.4	59.1	5836000	30.2	34.6	Y	N		
Utah	UT	N	247	180	2026000	1924000	1101000	54.3	57.2	703000	34.7	36.5	N	N		
Vermont	VT	U	876	43	493000	482000	324000	65.7	67.2	205000	41.6	42.5	N	N		
Virginia	VA	N	724	228	6221000	5888000	3924000	63.1	66.6	2453000	39.4	41.7	Y	N		
Washington	WA	N	74	31	5333000	4776000	3281000	61.5	68.7	2390000	44.8	50	N	N		
West Virginia	WV	L	687	248	1449000	1440000	896000	61.8	62.2	484000	33.4	33.6	Y	N		
Wisconsin	WI	N	557	108	4356000	4232000	3005000	69	71	2343000	53.8	55.4	N	N		
Wyoming	WY	L	328	156	441000	427000	241000	54.7	56.5	172000	39.1	40.3	Y	N		
